ICD-10-PCS代碼,健保醫令碼
0L5R0ZZ,64089C
0L5R3ZZ,64089C
0L5R4ZZ,64089C
0L5S0ZZ,64089C
0L5S3ZZ,64089C
0L5S4ZZ,64089C
0L5T0ZZ,64089C
0L5T3ZZ,64089C
0L5T4ZZ,64089C
0L5V0ZZ,64089C
0L5V3ZZ,64089C
0L5V4ZZ,64089C
0L5W0ZZ,64089C
0L5W3ZZ,64089C
0L5W4ZZ,64089C
0LB00ZZ,64089C
0LB03ZZ,64089C
0LB04ZZ,64089C
0LB10ZZ,64089C
0LB13ZZ,64089C
0LB14ZZ,64089C
0LB20ZZ,64089C
0LB23ZZ,64089C
0LB24ZZ,64089C
0LB30ZZ,64089C
0LB33ZZ,64089C
0LB34ZZ,64089C
0LB40ZZ,64089C
0LB43ZZ,64089C
0LB44ZZ,64089C
0LB50ZZ,64089C
0LB53ZZ,64089C
0LB54ZZ,64089C
0LB60ZZ,64089C
0LB63ZZ,64089C
0LB64ZZ,64089C
0LB70ZZ,64089C
0LB73ZZ,64089C
0LB74ZZ,64089C
0LB80ZZ,64089C
0LB83ZZ,64089C
0LB84ZZ,64089C
0LB90ZZ,64089C
0LB93ZZ,64089C
0LB94ZZ,64089C
0LBB0ZZ,64089C
0LBB3ZZ,64089C
0LBB4ZZ,64089C
0LBC0ZZ,64089C
0LBC3ZZ,64089C
0LBC4ZZ,64089C
0LBD0ZZ,64089C
0LBD3ZZ,64089C
0LBD4ZZ,64089C
0LBF0ZZ,64089C
0LBF3ZZ,64089C
0LBF4ZZ,64089C
0LBG0ZZ,64089C
0LBG3ZZ,64089C
0LBG4ZZ,64089C
0LBH0ZZ,64089C
0LBH3ZZ,64089C
0LBH4ZZ,64089C
0LBJ0ZZ,64089C
0LBJ3ZZ,64089C
0LBJ4ZZ,64089C
0LBK0ZZ,64089C
0LBK3ZZ,64089C
0LBK4ZZ,64089C
0LBL0ZZ,64089C
0LBL3ZZ,64089C
0LBL4ZZ,64089C
0LBM0ZZ,64089C
0LBM3ZZ,64089C
0LBM4ZZ,64089C
0LBN0ZZ,64089C
0LBN3ZZ,64089C
0LBN4ZZ,64089C
0LBP0ZZ,64089C
0LBP3ZZ,64089C
0LBP4ZZ,64089C
0LBQ0ZZ,64089C
0LBQ3ZZ,64089C
0LBQ4ZZ,64089C
0LBR0ZZ,64089C
0LBR3ZZ,64089C
0LBR4ZZ,64089C
0LBS0ZZ,64089C
0LBS3ZZ,64089C
0LBS4ZZ,64089C
0LBT0ZZ,64089C
0LBT3ZZ,64089C
0LBT4ZZ,64089C
0LBV0ZZ,64089C
0LBV3ZZ,64089C
0LBV4ZZ,64089C
0LBW0ZZ,64089C
0LBW3ZZ,64089C
0LBW4ZZ,64089C
0LT70ZZ,64089C
0LT74ZZ,64089C
0LT80ZZ,64089C
0LT84ZZ,64089C
0NCR0ZZ,64005B
0NCR0ZZ,92025B
0NCR0ZZ,92026B
0NCR0ZZ,92204B
0NCR3ZZ,64005B
0NCR3ZZ,92025B
0NCR3ZZ,92026B
0NCR3ZZ,92204B
0NCR4ZZ,64005B
0NCR4ZZ,92025B
0NCR4ZZ,92026B
0NCR4ZZ,92204B
0NCS0ZZ,64005B
0NCS0ZZ,92025B
0NCS0ZZ,92026B
0NCS0ZZ,92204B
0NCS3ZZ,64005B
0NCS3ZZ,92025B
0NCS3ZZ,92026B
0NCS3ZZ,92204B
0NCS4ZZ,64005B
0NCS4ZZ,92025B
0NCS4ZZ,92026B
0NCS4ZZ,92204B
0NCT0ZZ,64005B
0NCT0ZZ,92025B
0NCT0ZZ,92026B
0NCT0ZZ,92204B
0NCT3ZZ,64005B
0NCT3ZZ,92025B
0NCT3ZZ,92026B
0NCT3ZZ,92204B
0NCT4ZZ,64005B
0NCT4ZZ,92025B
0NCT4ZZ,92026B
0NCT4ZZ,92204B
0NCV0ZZ,64005B
0NCV0ZZ,92025B
0NCV0ZZ,92026B
0NCV0ZZ,92204B
0NCV3ZZ,64005B
0NCV3ZZ,92025B
0NCV3ZZ,92026B
0NCV3ZZ,92204B
0NCV4ZZ,64005B
0NCV4ZZ,92025B
0NCV4ZZ,92026B
0NCV4ZZ,92204B
0PSM34Z,64267C
0QN60ZZ,64238B
0QN70ZZ,64238B
0QSH36Z,64031C
0QSN34Z,64035C
0QSP34Z,64035C
0SG10AJ,83044B
0SG10AJ,83046B
0SG30AJ,83046B
0TC78ZZ,78027C
0UQG7ZZ,73029B
0UQG7ZZ,78019B
0UQG7ZZ,78020B
0UQG7ZZ,78021B
0UQG7ZZ,78217B
0UQG7ZZ,78218B
0UQG7ZZ,78220B
0UQG7ZZ,80005B
0UQG7ZZ,80006B
0UQG7ZZ,80009B
0UQG7ZZ,80021B
0UQG7ZZ,80022B
0UQG7ZZ,80023B
0UQG7ZZ,80032B
0UQG8ZZ,73029B
0UQG8ZZ,78019B
0UQG8ZZ,78020B
0UQG8ZZ,78021B
0UQG8ZZ,78217B
0UQG8ZZ,78218B
0UQG8ZZ,78220B
0UQG8ZZ,80005B
0UQG8ZZ,80006B
0UQG8ZZ,80021B
0UQG8ZZ,80022B
0UQG8ZZ,80023B
0UQG8ZZ,80032B
0W9G40Z,29017C
0W9G40Z,75801C
0W9G4ZZ,29017C
0016071,83055B
0016072,83050B
0016072,83055B
0016073,83050B
0016073,83055B
0016074,83049B
0016074,83055B
0016075,83049B
0016075,83055B
0016076,83049B
0016076,83055B
0016077,83055B
0016078,83051B
0016078,83055B
001607B,83052C
001607B,83055B
00160J0,83055B
00160J1,83055B
00160J2,83050B
00160J2,83055B
00160J3,83050B
00160J3,83055B
00160J4,83049B
00160J4,83055B
00160J5,83049B
00160J5,83055B
00160J6,83049B
00160J6,83055B
00160J7,83055B
00160J8,83051B
00160J8,83055B
00160JB,83052C
00160JB,83055B
00160K0,83055B
00160K1,83055B
00160K2,83050B
00160K2,83055B
00160K3,83050B
00160K3,83055B
00160K4,83049B
00160K4,83055B
00160K5,83049B
00160K5,83055B
00160K6,83049B
00160K6,83055B
00160K7,83055B
00160K8,83051B
00160K8,83055B
00160KB,83052C
00160KB,83055B
0016370,83055B
0016371,83055B
0016372,83050B
0016372,83055B
0016373,83050B
0016373,83055B
0016374,83049B
0016374,83055B
0016375,83049B
0016375,83055B
0016376,83049B
0016376,83055B
0016377,83055B
0016378,83013C
0016378,83014C
0016378,83051B
0016378,83055B
001637B,83052C
001637B,83055B
00163J0,83055B
00163J1,83055B
00163J2,83050B
00163J2,83055B
00163J3,83050B
00163J3,83055B
00163J4,83049B
00163J4,83055B
00163J5,83049B
00163J5,83055B
00163J6,83049B
00163J6,83055B
00163J7,83055B
00163J8,83013C
00163J8,83014C
00163J8,83051B
00163J8,83055B
00163JB,83052C
00163JB,83055B
00163K0,83055B
00163K1,83055B
00163K2,83050B
00163K2,83055B
00163K3,83050B
00163K3,83055B
00163K4,83049B
00163K4,83055B
00163K5,83049B
00163K5,83055B
00163K6,83049B
00163K6,83055B
00163K7,83055B
00163K8,83013C
00163K8,83014C
00163K8,83051B
00163K8,83055B
00163KB,83052C
00163KB,83055B
001U074,83053B
001U076,83053B
001U079,83053B
001U0J4,83053B
001U0J6,83053B
001U0J9,83053B
001U0K4,83053B
001U0K6,83053B
001U0K9,83053B
001U374,83053B
001U376,83053B
001U379,83053B
001U3J4,83053B
001U3J6,83053B
001U3J9,83053B
001U3K4,83053B
001U3K6,83053B
001U3K9,83053B
00500ZZ,83017B
00500ZZ,83018B
00500ZZ,83019B
00500ZZ,83056B
00500ZZ,83088B
00503ZZ,83017B
00503ZZ,83018B
00503ZZ,83019B
00503ZZ,83056B
00503ZZ,83088B
00504ZZ,83017B
00504ZZ,83018B
00504ZZ,83019B
00504ZZ,83056B
00504ZZ,83088B
00510ZZ,83017B
00510ZZ,83018B
00510ZZ,83019B
00510ZZ,83088B
00513ZZ,83017B
00513ZZ,83018B
00513ZZ,83019B
00513ZZ,83088B
00514ZZ,83017B
00514ZZ,83018B
00514ZZ,83019B
00514ZZ,83088B
00520ZZ,83017B
00520ZZ,83018B
00520ZZ,83019B
00520ZZ,83088B
00523ZZ,83017B
00523ZZ,83018B
00523ZZ,83019B
00523ZZ,83088B
00524ZZ,83017B
00524ZZ,83018B
00524ZZ,83019B
00524ZZ,83088B
00570ZZ,83017B
00570ZZ,83018B
00570ZZ,83019B
00570ZZ,83056B
00570ZZ,83088B
00573ZZ,83017B
00573ZZ,83018B
00573ZZ,83019B
00573ZZ,83056B
00573ZZ,83088B
00574ZZ,83017B
00574ZZ,83018B
00574ZZ,83019B
00574ZZ,83056B
00574ZZ,83088B
005B0ZZ,83017B
005B0ZZ,83018B
005B0ZZ,83019B
005B0ZZ,83056B
005B0ZZ,83088B
005B3ZZ,83017B
005B3ZZ,83018B
005B3ZZ,83019B
005B3ZZ,83056B
005B3ZZ,83088B
005B4ZZ,83017B
005B4ZZ,83018B
005B4ZZ,83019B
005B4ZZ,83056B
005B4ZZ,83088B
005C0ZZ,83017B
005C0ZZ,83018B
005C0ZZ,83019B
005C0ZZ,83056B
005C0ZZ,83088B
005C3ZZ,83017B
005C3ZZ,83018B
005C3ZZ,83019B
005C3ZZ,83056B
005C3ZZ,83088B
005C4ZZ,83017B
005C4ZZ,83018B
005C4ZZ,83019B
005C4ZZ,83056B
005C4ZZ,83088B
005D0ZZ,83017B
005D0ZZ,83018B
005D0ZZ,83019B
005D0ZZ,83056B
005D0ZZ,83088B
005D3ZZ,83017B
005D3ZZ,83018B
005D3ZZ,83019B
005D3ZZ,83056B
005D3ZZ,83088B
005D4ZZ,83017B
005D4ZZ,83018B
005D4ZZ,83019B
005D4ZZ,83056B
005D4ZZ,83088B
005T0ZZ,83040B
005T0ZZ,83041B
005T0ZZ,83042B
005T0ZZ,83047B
005T0ZZ,83072B
005T0ZZ,83073B
005T0ZZ,88037B
005T3ZZ,83040B
005T3ZZ,83041B
005T3ZZ,83042B
005T3ZZ,83047B
005T3ZZ,83072B
005T3ZZ,83073B
005T3ZZ,88037B
005T4ZZ,83040B
005T4ZZ,83041B
005T4ZZ,83042B
005T4ZZ,83047B
005T4ZZ,83072B
005T4ZZ,83073B
005T4ZZ,88037B
005W0ZZ,83040B
005W0ZZ,83041B
005W0ZZ,83042B
005W0ZZ,83072B
005W0ZZ,83073B
005W3ZZ,83040B
005W3ZZ,83041B
005W3ZZ,83042B
005W3ZZ,83072B
005W3ZZ,83073B
005W4ZZ,83040B
005W4ZZ,83041B
005W4ZZ,83042B
005W4ZZ,83072B
005W4ZZ,83073B
005X0ZZ,83040B
005X0ZZ,83041B
005X0ZZ,83042B
005X0ZZ,83072B
005X0ZZ,83073B
005X3ZZ,83040B
005X3ZZ,83041B
005X3ZZ,83042B
005X3ZZ,83072B
005X3ZZ,83073B
005X4ZZ,83040B
005X4ZZ,83041B
005X4ZZ,83042B
005X4ZZ,83072B
005X4ZZ,83073B
005Y0ZZ,83040B
005Y0ZZ,83041B
005Y0ZZ,83042B
005Y0ZZ,83072B
005Y0ZZ,83073B
005Y3ZZ,83040B
005Y3ZZ,83041B
005Y3ZZ,83042B
005Y3ZZ,83072B
005Y3ZZ,83073B
005Y4ZZ,83040B
005Y4ZZ,83041B
005Y4ZZ,83042B
005Y4ZZ,83072B
005Y4ZZ,83073B
00800ZZ,83056B
00803ZZ,83056B
00804ZZ,83056B
00870ZZ,83056B
00873ZZ,83056B
00874ZZ,83056B
008F0ZZ,83028C
008F0ZZ,83029C
008F3ZZ,83028C
008F3ZZ,83029C
008F4ZZ,83028C
008F4ZZ,83029C
008G0ZZ,83028C
008G0ZZ,83029C
008G3ZZ,83028C
008G3ZZ,83029C
008G4ZZ,83028C
008G4ZZ,83029C
008H0ZZ,83028C
008H0ZZ,83029C
008H3ZZ,83028C
008H3ZZ,83029C
008H4ZZ,83028C
008H4ZZ,83029C
008J0ZZ,83028C
008J0ZZ,83029C
008J3ZZ,83028C
008J3ZZ,83029C
008J4ZZ,83028C
008J4ZZ,83029C
008K0ZZ,83028C
008K0ZZ,83029C
008K3ZZ,83028C
008K3ZZ,83029C
008K4ZZ,83028C
008K4ZZ,83029C
008L0ZZ,83028C
008L0ZZ,83029C
008L3ZZ,83028C
008L3ZZ,83029C
008L4ZZ,83028C
008L4ZZ,83029C
